,D,Fdn,Fndyn,Gew,L0,Lndyn,Mat,PG,R,S,d,n,name,prices,shdyn
225,0.0033,Rattachés,2.678,0.0666,0.018,0.0050999999999999995,EN 10270-3-1.4310,D,208.0,0.0018160000000000001,0.0003,9.5,vd-026x,"{1: 2.65, 450: 0.11, 37: 0.47, 17: 0.74, 7: 1.6, 250: 0.16, 75: 0.31, 125: 0.24, 350: 0.12, 175: 0.19}",0.0035099999999999997
226,0.011300000000000001,Rattachés et meulés,10.782,1.2419,0.0846,0.01425,EN 10270-3-1.4310,H,153.0,0.008832000000000001,0.0007,9.5,vd-115g,"{1: 2.79, 450: 0.23, 37: 0.67, 17: 1.0, 7: 1.93, 250: 0.31, 75: 0.5, 125: 0.4, 350: 0.27, 175: 0.36}",0.01627
227,0.0023,Rattachés,1.179,0.0332,0.02,0.0054800000000000005,EN 10270-1,C,81.0,0.0011819999999999999,0.0002,16.5,d-006e,"{1: 2.63, 450: 0.08, 37: 0.43, 17: 0.7, 7: 1.57, 250: 0.13, 75: 0.25, 125: 0.19, 350: 0.1, 175: 0.14}",0.0049299999999999995
228,0.048,Rattachés et meulés,2161.832,985.8023,0.184,0.13819,EN 10270-3-1.4310,AW,47191.0,0.015909,0.009,11.0,vd-414m-03,"{1: 15.2, 75: 5.57, 3: 9.31, 37: 5.68, 17: 6.52, 250: 4.99, 7: 7.81, 125: 5.46, 350: 4.9, 175: 5.31}",0.01814
229,0.017,Rattachés et meulés,301.965,80.5704,0.15,0.09767,EN 10270-3-1.4310,Q,5770.0,0.00588,0.003,25.0,vd-288z-57,"{1: 3.31, 37: 1.39, 17: 1.75, 7: 2.84, 75: 1.29, 125: 0.98, 175: 0.92}",0.02558
230,0.0125,Rattachés et meulés,81.887,6.3083,0.062,0.0277,EN 10270-3-1.4310,L,2387.0,0.006368,0.0015,9.5,vd-207j-37,"{1: 2.96, 450: 0.36, 37: 0.93, 17: 1.23, 7: 2.31, 250: 0.43, 75: 0.82, 125: 0.51, 350: 0.4, 175: 0.48}",0.00897
231,0.05,Rattachés et meulés,1126.059,406.4065,0.175,0.0882,EN 10270-3-1.4310,AL,12973.0,0.019847,0.0063,8.5,vd-377,"{1: 12.3, 75: 2.82, 3: 6.56, 37: 2.9, 17: 3.38, 250: 2.65, 7: 4.84, 125: 2.77, 350: 2.57, 175: 2.71}",0.0176
232,0.0016,Rattachés,3.075,0.0205,0.0062,0.0035099999999999997,EN 10270-1,A,1143.0,0.000656,0.00025,8.5,d-026j,"{1: 2.52, 450: 0.05, 37: 0.33, 17: 0.62, 7: 1.5, 250: 0.08, 75: 0.17, 125: 0.13, 350: 0.06, 175: 0.1}",0.00088
233,0.0182,Rattachés et meulés,94.466,6.3256,0.0341,0.0124,EN 10270-3-1.4310,K,4353.0,0.009229,0.0018,3.5,vd-232k,"{1: 2.88, 450: 0.31, 37: 0.82, 17: 1.09, 7: 2.18, 250: 0.36, 75: 0.67, 125: 0.44, 350: 0.33, 175: 0.39}",0.00705
234,0.0091,Rattachés et meulés,26.418,2.5158,0.07629999999999999,0.02255,EN 10270-3-1.4310,H,491.0,0.004865,0.0009,15.5,vd-143d,"{1: 2.79, 450: 0.23, 37: 0.67, 17: 1.0, 7: 1.93, 250: 0.31, 75: 0.5, 125: 0.4, 350: 0.27, 175: 0.36}",0.01326
235,0.0048,Rattachés et meulés,7.115,0.2457,0.019,0.00677,EN 10270-3-1.4310,F,582.0,0.002176,0.0005,8.5,vd-074d,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.00501
236,0.008,Rattachés et meulés,156.48,2.9958,0.0215,0.0149,EN 10270-1,F,23709.0,0.0036179999999999997,0.0016,5.5,d-229,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.00242
237,0.01,Rattachés et meulés,357.168,14.5408,0.051,0.03778,EN 10270-1,H,27017.0,0.00423,0.00235,11.5,d-263v-06,"{1: 2.79, 450: 0.23, 37: 0.67, 17: 1.0, 7: 1.93, 250: 0.31, 75: 0.5, 125: 0.4, 350: 0.27, 175: 0.36}",0.0048
